Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
5,4,1,1.86,0.04,1,15,6,6,1,1,0.76,0.02,0.44,0.84,0.04,0.27,0.18,0.12,-0.01,323,324,8,0,0.4,7.91,152.24,81.85,0
2,5,4,1.68,0.03,1,15,8,4,1,0,1.93,0.02,0.3,0.77,0.04,0.29,0.23,0.34,-0.29,3,10,0,2,1,21.33,118.47,75.81,1
16,6,3,1.1,0.04,1,8,2,5,1,0,1.84,0.05,0.49,1.32,0.04,0.22,0.22,0.18,-0.2,101,106,2,1,0.8,15.3,103.08,83.51,0
20,6,2,0.33,0.05,1,9,7,6,2,0,1.81,0.04,0.21,1,0.02,0.14,0.12,0.32,-0.23,0,5,0,0,1,14.29,47.27,0,0
17,4,4,1.91,0.02,0,19,4,4,4,0,1.12,0.05,0.71,0.84,0.04,0.19,0.11,0.18,-0.23,16,19,4,0,0.8,18.33,144.56,80.62,0
8,4,3,0.96,0.03,1,16,3,4,2,0,0.56,0.03,0.99,0.67,0.01,0.12,0.15,0.16,-0.09,1,6,0,0,1,14.48,51.37,90.33,1
5,7,1,0.37,0.02,0,20,10,6,2,1,0.71,0.05,0.45,1.3,0.03,0.14,0.16,0.35,-0.27,2,7,0,0,1,15.52,64.59,87.61,1
3,7,4,0.36,0.02,0,14,7,5,3,1,0.98,0.04,0.7,1,0.02,0.16,0.29,0.12,-0.21,159,162,4,0,0.8,11.7,83.49,89.99,0
19,7,1,1.78,0.02,1,19,10,6,2,1,1.03,0.03,0.97,1.26,0.04,0.25,0.25,0.16,-0.02,164,246,6,80,0.6,10.22,143.16,80.68,0
3,7,3,0.57,0.04,1,17,2,4,3,1,1.31,0.02,0.37,1.16,0.05,0.22,0.12,0.14,-0.13,4,85,8,80,0.4,18.49,597.32,8.95,0
13,5,2,0.59,0.01,0,6,10,4,1,0,1.06,0.05,0.38,0.93,0.02,0.17,0.11,0.26,-0.29,81,243,6,160,0.8,12.07,108.92,87.83,0
19,5,2,0.24,0.04,1,15,6,4,4,1,1.77,0.02,0.94,1.42,0.04,0.12,0.15,0.29,-0.25,82,86,2,0,0.8,12.67,72.02,89.49,0
19,7,3,0.86,0.02,0,19,8,6,2,0,1.17,0.05,0.71,0.91,0.04,0.13,0.19,0.26,-0.15,84,88,2,0,0.8,18.36,122.55,78.36,0
15,6,1,1.47,0.02,0,13,4,7,3,0,1.1,0.02,0.9,1.2,0.05,0.13,0.12,0.19,-0.25,0,5,0,0,1,14.41,55.46,89.5,1
13,5,3,0.59,0.05,1,6,4,5,3,0,1.65,0.04,0.28,0.86,0.04,0.21,0.23,0.33,-0.19,0,5,0,0,1,14.93,59.09,88.7,1
13,7,2,0.62,0.01,1,4,4,7,3,0,1,0.03,0.44,1.14,0.02,0.18,0.19,0.27,-0.14,86,90,2,0,0.8,17.3,102.74,82.84,0
18,6,3,0.22,0.05,1,20,2,5,3,1,1.08,0.02,0.93,0.53,0.02,0.17,0.13,0.21,-0.15,96,98,6,0,0.6,16.41,173.5,77.86,0
13,7,4,0.42,0.03,1,18,2,7,2,0,1.59,0.02,0.7,0.62,0.04,0.25,0.12,0.4,-0.04,1,6,0,0,1,14.39,46.27,91.5,1
14,6,1,0.45,0.03,1,8,3,7,3,0,1.08,0.03,0.81,0.85,0.04,0.29,0.17,0.3,-0.15,4,8,2,0,0.8,44.13,546.87,8.95,0
6,7,4,1.86,0.03,0,4,6,6,2,0,0.7,0.04,0.45,1.16,0.04,0.15,0.17,0.39,-0.17,164,167,4,0,0.6,14.29,112.49,83.84,0
12,4,4,1.91,0.02,0,6,3,7,1,1,0.57,0.03,0.2,1.06,0.05,0.13,0.2,0.28,-0.05,159,162,4,0,0.6,10.31,97.77,86.99,0
15,7,4,0.28,0.04,1,11,8,7,1,1,0.68,0.02,0.67,0.7,0.02,0.23,0.14,0.18,-0.01,161,164,4,0,0.6,10.63,83.35,90.48,0
3,5,3,0.21,0.02,1,18,8,4,4,1,0.43,0.02,0.1,1.49,0.02,0.2,0.3,0.3,-0.21,0,5,0,0,1,14.34,49.49,90.88,1
15,4,1,1.33,0.05,1,3,2,6,2,0,1.59,0.05,0.63,1.01,0.01,0.14,0.14,0.13,-0.06,2,7,0,0,1,14.5,51.12,90.99,1
9,5,3,1.47,0.05,0,12,6,6,2,1,1.97,0.02,0.98,0.97,0.04,0.11,0.14,0.32,-0.26,4,9,0,0,1,14.45,62.44,87.96,1
14,5,4,1.09,0.05,1,10,6,4,3,1,0.59,0.03,0.85,1.03,0.03,0.15,0.21,0.18,0,0,5,0,0,1,14.45,45.6,91.68,1
19,5,1,1.77,0.05,1,1,3,7,1,1,1.96,0.03,0.95,0.99,0.02,0.26,0.16,0.4,-0.11,82,86,2,0,0.8,12.68,61.04,91.65,0
12,5,2,1.7,0.05,1,2,3,5,3,1,1.14,0.02,0.75,0.98,0.04,0.19,0.12,0.16,-0.15,5,6,8,0,0.2,58.4,578.57,8.95,0
6,6,3,0.39,0.02,1,6,9,5,2,1,0.4,0.02,0.14,1.25,0.02,0.27,0.26,0.13,-0.28,4,9,0,0,1,15.88,65.26,87.98,1
9,4,2,1.23,0.01,1,8,10,6,3,0,0.66,0.03,0.74,0.91,0.05,0.3,0.22,0.23,-0.12,161,164,4,0,0.6,14.57,113.25,83.51,0
1,6,4,1.27,0.02,1,9,5,7,1,0,1.91,0.02,0.89,1.08,0.03,0.28,0.3,0.11,-0.19,4,167,4,160,1,22.85,155.73,74.37,0
20,5,2,1.37,0.04,1,11,1,7,3,0,1.92,0.02,0.12,0.84,0.05,0.14,0.17,0.35,-0.18,11,15,2,0,0.8,16.34,104.06,85.18,0
17,6,1,1.82,0.04,0,9,3,6,4,0,1.55,0.04,0.62,1.09,0.01,0.26,0.12,0.19,-0.19,80,84,2,0,0.8,12.34,63.81,90.99,0
14,7,2,0.93,0.02,0,1,6,6,3,1,1.23,0.04,0.35,1.04,0.02,0.24,0.13,0.24,-0.01,2,86,2,80,1,14.41,67.28,90.47,0
11,5,3,0.6,0.05,0,13,4,6,3,0,0.25,0.02,0.1,1.11,0.04,0.24,0.12,0.21,-0.16,0,5,0,0,1,16.34,72.52,85.68,1
17,6,3,0.29,0.04,1,1,8,4,1,0,0.94,0.05,0.43,1.45,0.02,0.29,0.2,0.29,-0.26,82,86,2,0,0.8,12.42,64.93,90.99,0
13,4,1,1.75,0.03,1,13,4,6,3,1,0.54,0.04,0.11,0.67,0.02,0.25,0.16,0.28,-0.07,0,5,0,0,1,14.34,46.51,91.32,1
10,4,3,1.94,0.02,0,16,7,4,4,1,1.68,0.02,0.8,0.87,0.02,0.18,0.14,0.33,-0.11,97,101,2,0,0.8,17.27,121.56,78.69,0
1,5,4,0.39,0.02,1,17,1,6,2,0,1.39,0.03,0.77,0.59,0.03,0.19,0.19,0.34,-0.16,0,5,0,0,1,16.54,69.42,86.51,1
12,7,2,1.92,0.02,1,3,5,5,1,1,1.5,0.03,0.3,0.58,0.02,0.13,0.23,0.3,-0.17,85,89,2,0,0.8,13.51,95.71,83.98,0
6,6,1,1.75,0.03,0,3,9,6,3,1,0.59,0.05,0.32,0.89,0.01,0.17,0.22,0.17,-0.07,83,87,2,0,0.8,12.36,66.24,90.48,0
20,4,2,1.49,0.02,1,9,7,6,3,0,0.6,0.05,0.66,0.5,0.03,0.14,0.16,0.34,-0.23,80,84,2,0,0.8,17.06,107.47,81.52,0
8,4,1,1.97,0.01,0,13,7,4,3,0,1.84,0.04,0.38,0.76,0.02,0.11,0.2,0.3,-0.02,79,83,2,0,0.8,12.27,65.2,90.99,0
4,7,4,1.26,0.04,1,9,10,4,4,1,0.61,0.03,0.57,1.36,0.04,0.12,0.23,0.22,-0.15,3,6,4,0,0.6,34.6,273.41,51.67,0
2,4,4,1.83,0.02,0,4,4,4,1,1,0.53,0.03,0.72,1.02,0.05,0.13,0.18,0.32,-0.05,2,5,4,0,0.8,16.92,215.2,64.57,0
1,5,4,0.76,0.03,0,13,6,5,4,1,0.36,0.04,0.98,1.13,0.02,0.16,0.2,0.21,-0.09,86,89,4,0,0.8,11.9,101.77,88.49,0
12,5,4,0.58,0.05,1,13,2,6,4,0,0.98,0.05,0.62,1.14,0.04,0.27,0.27,0.29,-0.06,162,165,4,0,0.6,10.47,80.87,90.99,0
9,5,4,1.33,0.02,0,9,4,7,2,0,1.16,0.04,0.36,0.8,0.04,0.23,0.12,0.36,-0.16,14,17,4,0,0.8,18.33,132.74,81.98,0
8,4,2,1.34,0.02,1,1,7,6,2,0,1.31,0.05,0.93,0.65,0.04,0.24,0.13,0.25,-0.14,22,22,10,0,0,131.99,1266.4,8.95,0
2,4,1,0.47,0.03,1,20,5,7,4,1,1.08,0.03,0.11,0.93,0.02,0.26,0.14,0.28,-0.24,2,165,4,160,1,14.97,96.27,87.42,0
4,6,4,0.22,0.01,0,16,7,4,3,0,1.73,0.04,0.45,1.45,0.05,0.13,0.22,0.19,-0.08,88,121,4,30,0.8,12.62,114.87,83.84,0
17,4,1,0.61,0.02,0,5,6,6,3,0,0.69,0.03,0.56,1.03,0.02,0.21,0.15,0.25,-0.03,80,84,2,0,0.8,12.34,58.58,92.31,0
5,6,1,1.13,0.02,0,13,8,4,2,0,0.96,0.04,0.75,0.63,0.01,0.16,0.21,0.16,-0.14,0,5,0,0,1,15.04,54.11,89.95,1
4,5,3,1.55,0.02,0,7,2,7,1,1,0.71,0.04,0.69,1.11,0.05,0.15,0.13,0.31,-0.14,94,98,2,0,0.8,25.89,175.41,66.73,0
12,7,3,0.65,0.02,0,18,2,5,4,0,1.9,0.02,0.33,1.32,0.05,0.22,0.11,0.38,-0.25,0,5,0,0,1,15.87,61.06,88.37,1
12,6,1,0.71,0.02,1,4,4,7,2,1,1.29,0.04,0.7,0.67,0.01,0.23,0.11,0.4,-0.11,165,168,4,0,0.6,10.4,72.98,92.97,0
18,7,1,1,0.05,0,10,10,6,1,1,1.77,0.01,0.98,1,0.04,0.23,0.13,0.31,-0.12,8,10,8,0,0.4,21.04,539.95,8.73,0
17,4,4,0.86,0.02,0,11,5,4,4,1,1.89,0.01,0.45,1.39,0.03,0.16,0.15,0.23,-0.21,27,111,2,80,1,17.79,103.77,83.54,0
5,6,1,1.32,0.03,1,17,3,7,2,0,0.55,0.02,0.29,1.41,0.04,0.23,0.23,0.19,-0.02,160,243,6,81,0.6,10.52,120.06,85.67,0
16,5,4,1.42,0.05,1,8,9,6,3,0,1.3,0.02,0.17,1.24,0.04,0.22,0.2,0.35,-0.14,5,167,7,160,0.8,16.65,149.35,82.84,0
16,4,4,1.48,0.03,0,7,5,5,4,0,1.19,0.03,0.69,1.31,0.02,0.1,0.15,0.22,-0.19,0,5,0,0,1,14.37,48.36,90.96,1
2,5,3,1.69,0.03,0,2,4,7,3,1,1.72,0.01,0.91,1.44,0.05,0.29,0.26,0.31,-0.04,7,8,11,0,0.2,23.48,2249.65,8.79,0
14,4,2,1.53,0.04,0,3,2,6,2,1,1.55,0.01,0.76,0.99,0.04,0.14,0.14,0.3,-0.28,0,5,0,0,1,14.85,95.27,80.64,1
10,5,3,1.46,0.02,0,18,1,7,1,0,0.81,0.04,0.97,1.18,0.04,0.24,0.13,0.28,-0.13,84,88,2,0,0.8,19.46,137.99,74.7,0
11,5,4,1.96,0.02,1,10,8,7,4,0,0.29,0.02,0.22,1.29,0.04,0.16,0.21,0.29,-0.14,1,6,0,0,1,21.16,104.72,78.55,1
8,6,1,1.02,0.03,0,1,6,7,3,1,0.51,0.04,0.52,1.23,0.02,0.13,0.11,0.2,0,81,164,4,80,0.8,12.33,78.1,91.93,0
19,4,4,1.32,0.02,1,2,7,6,3,0,1.7,0.02,0.55,1.15,0.02,0.27,0.26,0.4,-0.2,82,86,2,0,0.8,13.11,68.95,89.98,0
17,6,3,0.37,0.01,1,9,10,5,1,0,0.3,0.04,0.94,0.59,0.03,0.11,0.24,0.25,-0.26,1,6,0,0,1,18.24,106.95,78,1
10,7,1,0.51,0.03,1,5,4,4,4,1,0.78,0.02,0.38,1.27,0.02,0.2,0.29,0.39,-0.01,82,86,2,0,0.8,12.87,56.6,92.97,0
8,4,4,1.21,0.02,0,9,8,5,2,1,1.92,0.05,0.27,1.39,0.04,0.14,0.19,0.17,-0.24,7,91,2,80,1,17.48,114.23,80.21,0
20,7,1,0.64,0.03,1,2,9,5,3,0,1.02,0.05,0.96,0.94,0.02,0.14,0.21,0.15,-0.1,2,7,0,0,1,16.06,73.77,85.48,1
19,5,2,1.29,0.03,0,19,3,5,2,0,0.2,0.04,0.97,1.14,0.04,0.28,0.24,0.36,-0.23,0,5,0,0,1,14.58,53.58,89.89,1
9,6,4,0.54,0.03,0,2,8,4,3,0,1.86,0.02,0.95,1.21,0.02,0.13,0.24,0.37,-0.06,0,5,0,0,1,14.23,42.53,92.46,1
17,7,3,1.91,0.01,0,14,3,5,1,1,1.43,0.01,0.8,1.07,0.04,0.29,0.14,0.39,-0.28,0,5,0,0,1,14.52,56,89.42,1
15,5,2,1.41,0.01,1,15,1,5,2,1,1.87,0.02,0.65,0.89,0.01,0.28,0.15,0.32,-0.08,0,5,0,0,1,14.28,44.24,91.92,1
9,4,1,1.87,0.02,0,6,10,5,3,1,1.98,0.01,0.29,1.26,0.04,0.25,0.23,0.35,-0.09,82,86,2,0,0.8,12.42,64.86,90.99,0
8,6,4,1.86,0.03,1,4,2,6,3,0,1.57,0.02,0.49,0.77,0.04,0.22,0.17,0.37,-0.23,2,9,0,2,1,16.66,79.32,84.44,1
20,4,1,1.88,0.02,0,12,1,7,4,1,1.96,0.02,0.81,1.06,0.01,0.22,0.19,0.15,-0.07,0,5,0,0,1,14.47,46.89,91.37,1
16,7,2,1.1,0.03,1,9,10,5,3,0,0.9,0.04,0.66,1.28,0.02,0.21,0.23,0.25,-0.19,84,88,2,0,0.8,13.03,66.05,90.99,0
4,4,2,1.05,0.03,0,20,9,6,2,1,0.71,0.02,0.24,0.84,0.01,0.21,0.14,0.12,-0.13,1,6,0,0,1,14.67,52.09,90.81,1
14,7,1,0.8,0.03,0,4,5,7,1,1,1.35,0.03,0.45,0.84,0.02,0.19,0.2,0.4,-0.02,82,86,2,0,0.8,12.1,68.56,89.98,0
6,7,3,1.51,0.03,0,14,10,4,4,1,0.47,0.02,0.38,1.47,0.02,0.19,0.1,0.24,-0.03,2,7,0,0,1,14.42,46.5,91.51,1
1,6,4,1.93,0.04,0,6,10,5,2,0,1.73,0.03,0.57,0.7,0.02,0.19,0.15,0.24,-0.17,1,6,0,0,1,17.36,77.26,84.82,1
5,7,4,0.99,0.04,1,2,5,6,1,0,0.31,0.04,0.36,0.92,0.02,0.2,0.14,0.29,-0.21,80,84,2,0,0.8,14.16,85.25,86.66,0
2,6,2,1.05,0.01,0,9,7,6,1,1,0.53,0.04,0.39,1.18,0.04,0.12,0.1,0.14,-0.03,90,252,6,160,0.8,12.11,139.85,81.52,0
1,7,1,0.63,0.03,1,6,9,6,3,1,0.76,0.02,0.96,0.63,0.01,0.16,0.18,0.15,-0.22,1,6,0,0,1,14.92,58.65,88.66,1
12,4,4,1.64,0.04,1,16,2,4,2,0,1.18,0.04,0.55,0.71,0.03,0.12,0.2,0.23,-0.25,0,83,4,80,0.8,19.58,135.83,79.98,0
7,6,1,0.72,0.03,1,8,6,7,1,1,1.18,0.03,0.84,1.01,0.03,0.17,0.23,0.33,-0.04,160,163,4,0,0.8,11.58,80.11,90.99,0
11,4,1,0.34,0.05,0,9,1,4,1,1,1.4,0.01,0.22,1.41,0.04,0.18,0.3,0.12,-0.08,82,86,2,0,0.8,13.39,84.98,86.66,0
4,6,4,1.16,0.04,0,20,10,4,1,0,1.51,0.04,0.95,1.32,0.04,0.28,0.29,0.28,-0.02,161,164,4,0,0.6,9.86,77.34,91.65,0
20,4,1,1.3,0.02,1,2,5,5,4,1,0.73,0.04,0.6,0.59,0.05,0.2,0.25,0.3,-0.2,177,179,10,0,0.4,129.23,1232.64,8.95,0
8,6,1,0.73,0.04,0,1,7,4,4,1,0.61,0.05,0.55,1.07,0.04,0.1,0.11,0.35,-0.13,85,88,4,0,0.6,12.09,86.97,91.87,0
20,7,1,1.76,0.04,0,10,6,7,4,0,1.76,0.04,0.89,0.6,0.01,0.26,0.22,0.28,-0.3,0,5,0,0,1,14.38,62.05,87.83,1
8,6,1,1.46,0.04,1,18,8,4,2,1,1.55,0.01,0.4,0.64,0.05,0.23,0.13,0.16,-0.09,317,318,8,0,0.2,6.43,121.23,88.49,0
7,5,1,0.84,0.01,0,4,5,4,1,1,1.97,0.02,0.67,0.96,0.02,0.19,0.25,0.26,-0.07,90,94,2,0,0.8,12.67,62.7,91.65,0
6,5,3,1.41,0.02,1,12,10,5,1,1,1.57,0.03,0.67,0.73,0.02,0.23,0.24,0.26,-0.14,87,169,4,79,0.8,34.61,177.24,69.56,0
19,6,3,1.86,0.04,0,13,6,4,3,0,0.54,0.03,0.86,0.54,0.05,0.19,0.17,0.26,-0.28,84,248,6,162,0.8,14.23,128.63,83.84,0
2,6,3,1.53,0.03,1,4,5,4,2,1,0.34,0.01,0.13,1.08,0.03,0.22,0.17,0.21,-0.01,4,9,0,0,1,14.52,54.24,89.89,1
2,5,2,1.12,0.05,0,13,8,5,3,1,1.5,0.03,0.5,1.3,0.03,0.22,0.18,0.32,-0.15,29,34,0,0,1,17.91,89.39,82.98,1
16,7,1,1.11,0.04,0,5,1,5,1,1,1.91,0.02,0.28,0.9,0.03,0.27,0.21,0.12,-0.13,239,241,6,0,0.6,10.95,119.7,85.67,0
8,7,2,0.6,0.05,1,13,8,7,2,0,1.82,0.03,0.25,0.99,0.04,0.24,0.16,0.36,-0.24,162,165,4,0,0.6,9.63,76.85,91.65,0
6,5,1,1.89,0.01,1,3,3,5,1,1,0.43,0.04,0.49,1.13,0.03,0.24,0.16,0.39,-0.21,0,5,0,0,1,14.22,46.4,91.52,1
4,4,3,0.38,0.03,0,7,1,6,2,1,1.16,0.02,0.86,1.17,0.01,0.13,0.14,0.11,-0.25,88,91,4,0,0.8,13.35,104.63,87.83,0
15,4,3,0.9,0.01,1,15,3,6,2,1,1.71,0.02,0.61,1.13,0.03,0.3,0.14,0.14,-0.14,0,5,0,0,1,15.97,66.37,86.88,1
1,5,4,1.51,0.04,1,4,6,4,2,1,1.94,0.03,0.74,1.1,0.05,0.18,0.16,0.18,-0.05,397,397,10,0,0.2,5.43,162.49,82.84,0
19,6,4,0.32,0.03,1,3,1,4,4,0,0.6,0.03,0.46,1.32,0.04,0.13,0.16,0.39,-0.05,5,9,3,0,0.8,16.11,166.9,71.91,0
13,5,1,1.2,0.04,0,3,7,5,4,1,0.33,0.05,0.64,1.01,0.01,0.2,0.27,0.22,-0.29,115,119,2,0,0.8,14.16,88.36,86.99,0
5,5,3,1.92,0.02,1,17,6,4,2,0,1.32,0.01,0.62,1.35,0.02,0.2,0.17,0.4,-0.3,3,8,0,0,1,15.11,63.22,87.95,1
2,4,1,1.46,0.03,1,10,7,4,4,0,0.78,0.05,0.77,1.15,0.05,0.19,0.28,0.26,-0.25,83,87,2,0,0.8,16.36,101.12,82.84,0
6,6,1,0.35,0.01,0,14,4,6,3,0,1.68,0.02,0.32,1.45,0.03,0.19,0.19,0.11,-0.06,8,12,3,0,1,18.18,235.65,57.59,0
8,5,3,0.47,0.04,0,10,8,7,2,1,0.84,0.05,0.85,0.76,0.04,0.26,0.21,0.19,-0.16,84,167,4,80,0.8,19.91,162.14,72.71,0
7,5,1,1.97,0.04,0,8,1,7,1,1,1.76,0.01,0.33,1.06,0.03,0.19,0.15,0.11,-0.15,0,5,0,0,1,15.72,59.71,88.52,1
11,5,3,1.18,0.05,0,3,6,5,1,0,0.25,0.05,0.66,1.26,0.03,0.2,0.25,0.29,-0.04,79,83,2,0,0.8,12.13,59.14,91.98,0
12,4,4,1.88,0.01,0,4,6,7,2,1,1.99,0.03,0.56,0.7,0.04,0.28,0.29,0.39,-0.16,177,179,6,0,0.4,13.39,147.26,79.69,0
14,7,1,1.98,0.05,1,20,9,7,1,0,1.36,0.04,0.16,0.64,0.04,0.15,0.29,0.11,-0.28,162,165,4,0,0.6,10.26,78.2,91.65,0
18,7,3,0.55,0.01,0,10,3,4,4,1,0.75,0.03,0.35,0.55,0.04,0.16,0.12,0.33,-0.22,164,246,6,80,0.6,17.33,170.23,74.7,0
14,5,1,1.52,0.04,1,4,4,4,1,0,0.25,0.03,0.95,1.38,0.01,0.18,0.13,0.33,-0.24,0,5,0,0,1,14.26,45.36,91.62,1
15,7,4,1.74,0.04,1,18,1,6,1,1,1.52,0.05,0.39,1.46,0.03,0.12,0.18,0.3,-0.08,87,91,2,0,0.8,12.07,65.79,90.99,0
9,6,3,0.53,0.05,1,11,6,6,4,1,1.19,0.04,0.26,0.55,0.02,0.26,0.21,0.13,-0.25,84,88,2,0,0.8,14.22,88.46,85.67,0
13,4,1,1.27,0.02,1,2,10,7,1,1,1.85,0.05,0.32,0.53,0.03,0.17,0.13,0.33,-0.27,245,247,6,0,0.6,11.36,114.46,86.99,0
4,5,3,1.35,0.03,1,2,4,4,1,0,1.35,0.02,0.74,0.6,0.04,0.27,0.18,0.33,-0.29,0,3,4,0,0.6,17.23,261.17,53.6,0
18,6,4,1.88,0.05,1,9,5,4,2,1,0.92,0.02,0.37,1.47,0.04,0.19,0.28,0.21,-0.24,5,10,0,0,1,14.71,58.13,89,1
9,6,3,1.4,0.04,0,14,1,6,2,0,1.7,0.03,0.88,0.6,0.03,0.23,0.14,0.16,-0.29,5,10,0,0,1,15.69,81.17,83.95,1
5,4,3,1.44,0.03,0,7,4,4,1,1,0.24,0.04,0.45,1.07,0.04,0.16,0.25,0.23,-0.02,80,84,2,0,0.8,11.92,68.52,89.82,0
6,5,2,1.72,0.05,0,3,4,5,1,1,1.09,0.02,0.51,1.32,0.01,0.15,0.16,0.36,-0.28,82,86,2,0,0.8,12.24,58.62,92.31,0
12,4,3,1.17,0.02,1,16,10,6,1,1,1.05,0.03,0.46,0.64,0.03,0.21,0.29,0.22,-0.22,83,87,2,0,0.8,14.21,93.65,84.68,0
9,6,1,0.27,0.03,0,11,8,7,1,0,1.48,0.04,0.85,0.92,0.05,0.13,0.18,0.28,-0.12,83,166,4,80,0.8,17.15,128.6,80.35,0
6,5,1,1.61,0.03,1,19,7,7,4,1,1.89,0.04,0.84,1.05,0.02,0.13,0.18,0.36,-0.09,81,85,2,0,0.8,11.87,58.98,92.31,0
19,6,4,1.35,0.04,0,17,6,7,2,1,1.48,0.05,0.88,0.5,0.03,0.21,0.29,0.19,-0.27,86,90,2,0,0.8,14.86,97.96,83.51,0
20,6,1,0.27,0.03,0,15,9,5,3,1,1.93,0.02,0.85,1.02,0.02,0.2,0.24,0.1,-0.03,161,164,4,0,0.8,11.79,87.19,89.82,0
2,6,2,1.74,0.03,1,3,6,5,2,0,0.61,0.01,0.98,1.1,0.03,0.29,0.13,0.25,-0.09,83,87,2,0,0.8,12.58,63.83,91,0
20,5,2,1.02,0.04,1,15,1,4,2,0,0.8,0.04,0.76,0.61,0.03,0.2,0.28,0.36,-0.2,0,5,0,0,1,19.81,89.08,81.88,1
11,7,3,0.37,0.01,0,18,8,6,1,1,0.41,0.04,0.25,1.16,0.03,0.1,0.28,0.3,-0.29,85,89,2,0,0.8,13.28,84.61,86.66,0
7,4,4,0.8,0.03,1,16,1,5,3,0,0.21,0.04,0.37,0.85,0.04,0.13,0.25,0.31,-0.13,238,240,6,0,0.4,14.36,139.24,81.52,0
11,4,2,1.6,0.03,1,9,9,7,2,0,1.98,0.03,0.92,1.14,0.04,0.23,0.3,0.31,-0.14,82,86,2,0,0.8,17.84,111.11,80.68,0
16,7,2,1.22,0.03,1,2,3,6,3,1,1.22,0.02,0.75,0.73,0.01,0.28,0.17,0.22,-0.3,80,84,2,0,0.8,12.27,70.88,89.82,0
16,6,4,0.99,0.03,1,17,4,7,1,1,0.44,0.05,0.87,0.59,0.02,0.25,0.19,0.3,-0.12,81,164,4,80,0.8,40.39,338.4,33.86,0
3,6,2,0.95,0.05,1,5,7,4,3,1,1.25,0.03,0.24,1.18,0.01,0.2,0.24,0.32,-0.28,0,5,0,0,1,14.28,45.01,91.65,1
16,5,1,0.72,0.02,1,4,7,4,4,1,1.46,0.05,0.66,1.38,0.03,0.24,0.3,0.16,-0.23,83,87,2,0,0.8,14.23,80.81,87.32,0
6,7,2,1.54,0.02,1,13,4,7,1,0,1.34,0.04,0.99,1.42,0.04,0.25,0.21,0.17,-0.06,80,84,2,0,0.8,11.9,59.76,91.98,0
9,6,2,1.29,0.05,1,2,3,7,4,0,1.81,0.03,0.5,0.79,0.01,0.11,0.1,0.23,-0.18,88,170,4,79,0.8,13.91,93.44,88.49,0
15,7,2,1.43,0.02,0,11,5,5,2,1,1.58,0.02,0.11,1.16,0.01,0.19,0.24,0.24,-0.11,0,5,0,0,1,14.38,44.76,91.84,1
4,7,4,0.36,0.03,0,18,7,5,3,1,0.75,0.02,0.23,0.63,0.02,0.21,0.22,0.12,-0.27,0,5,0,0,1,14.51,55.47,89.58,1
18,4,3,1.31,0.02,0,5,2,5,4,1,1.31,0.03,0.2,0.52,0.04,0.26,0.29,0.33,-0.07,1,6,0,0,1,21.51,221.77,52.67,1
2,5,3,0.31,0.03,0,8,3,5,4,0,0.61,0.02,0.19,0.58,0.04,0.14,0.27,0.32,-0.25,0,5,0,0,1,15.3,62.08,87.83,1
16,4,4,0.97,0.02,1,8,8,4,2,1,1.07,0.04,0.39,1.29,0.05,0.22,0.28,0.12,-0.23,89,93,2,0,0.8,15.2,90.19,85.67,0
13,6,1,0.99,0.03,0,4,4,7,4,0,1.56,0.02,0.69,0.59,0.04,0.22,0.17,0.37,-0.04,89,171,9,80,0.6,21.9,444.32,21.47,0
12,7,2,0.72,0.05,0,1,10,6,2,1,0.49,0.04,0.88,1.15,0.04,0.18,0.15,0.28,-0.26,84,88,2,0,0.8,13.69,87.08,85.97,0
10,6,1,0.4,0.03,1,11,9,6,2,1,0.6,0.05,0.61,1.31,0.03,0.13,0.22,0.23,-0.21,82,86,2,0,0.8,13.09,71.32,89.82,0
12,7,2,0.77,0.02,0,14,2,5,2,0,0.65,0.02,0.85,0.8,0.05,0.15,0.15,0.28,-0.01,1,6,0,0,1,14.55,68.3,86.69,1
12,5,4,1.16,0.01,1,2,7,6,2,0,0.35,0.03,0.97,0.7,0.02,0.18,0.1,0.36,-0.14,82,87,2,1,0.8,12.92,70.91,89.82,0
9,5,2,1.07,0.02,1,5,6,7,3,0,0.72,0.05,0.36,0.58,0.03,0.15,0.27,0.18,-0.19,239,323,8,83,0.4,11.42,151.22,81.98,0
14,4,4,1.72,0.02,1,12,5,5,4,0,1.58,0.05,0.23,1.05,0.01,0.26,0.18,0.35,-0.25,81,85,2,0,0.8,12.51,61.2,91.65,0
5,5,1,0.75,0.01,1,2,9,4,4,0,1.45,0.02,0.89,1.15,0.02,0.24,0.21,0.4,-0.03,82,86,2,0,0.8,12.23,56.6,92.97,0
9,4,1,1.33,0.02,1,18,8,6,4,1,0.73,0.05,0.55,1.41,0.03,0.12,0.25,0.32,-0.1,84,88,2,0,0.8,17.25,106.04,81.85,0
